-0.1358388851980478762016	0.6162139329409110910518	-153.733696	-152.984861	0.000000	1.000000
-0.4318965333545397022874	0.5830082637690827684906	-107.755099	-107.006263	0.220000	1.000000
-0.4318965333545397022874	0.5830082637690827684906	-107.755099	-107.006263	0.220000	1.000000
-0.5509607227914327109985	0.6007646719708468197041	-108.525958	-107.777123	0.220000	1.000000
-0.5434178543343688438938	0.6007646719708468197041	-108.534882	-107.786046	0.220000	1.000000
-0.4003936519724267117937	0.5699739022598725446400	-107.606002	-106.857167	0.220000	1.000000
-0.4364077020601923040388	0.5699739022598725446400	-107.840028	-107.091193	0.220000	1.000000
-0.4311403203560897345881	0.5775544672086624364837	-107.618284	-106.869448	0.220000	1.000000
-0.2986573574997193336600	0.5515192391076468858557	-106.874326	-106.125490	0.220000	1.000000
-0.3429260779763078637039	0.5584427150384836391339	-106.719345	-105.970509	0.220000	1.000000
-0.3262682256507808964408	0.5584427150384836391339	-106.431918	-105.683082	0.220000	1.000000
