-1.6519092962603858509851	0.6411486454701132986500	-130.985522	-130.277603	0.000000	1.000000
-1.4931592055359608206544	0.6621921940929622607541	-124.222464	-123.514544	0.350000	1.000000
-1.4785073071425853807881	0.6802601786389549376466	-122.987388	-122.279468	0.350000	1.000000
-1.1151635081763831003343	0.6666413073755076412752	-114.845526	-114.137607	0.350000	1.000000
-1.0889354208383166255913	0.6541098238701020806118	-114.354194	-113.646274	0.350000	1.000000
-1.0501333590873320744663	0.6373977190100247325333	-113.894704	-113.186784	0.350000	1.000000
-0.9522793012243679910966	0.6373977190100247325333	-112.456524	-111.748604	0.350000	1.000000
-0.8872167230991018227471	0.6373977190100247325333	-111.914137	-111.206217	0.350000	1.000000
-0.5719560968740498019258	0.6373977190100247325333	-112.414009	-111.706089	0.350000	1.000000
-0.6708512574894079927290	0.6373977190100247325333	-111.881667	-111.173747	0.350000	1.000000
-0.4405090752265757303441	0.5930300014958420629085	-108.855372	-108.147452	0.350000	1.000000
